Holiday/Festival,Month,Day,Type,Season
Songkran Festival (Thai New Year),April,13-15,Thai Festival,High Season (Tourist Peak)
Makha Bucha,February/March,Full Moon,Thai Buddhist Holiday,Shoulder Season
Visakha Bucha,May/June,Full Moon,Thai Buddhist Holiday,Shoulder Season
Asahna Bucha,July/August,Full Moon,Thai Buddhist Holiday,Shoulder Season
New Year's Day,January,1,Thai National Holiday,High Season (Tourist Peak)
Chakri Memorial Day,April,6,Thai National Holiday,Shoulder Season
Labor Day,May,1,Thai National Holiday,Shoulder Season
H.M. King's Birthday,July,28,Thai National Holiday,Shoulder Season
H.M. Queen Mother's Birthday,August,12,Thai National Holiday,Shoulder Season
H.M. King Bhumibol Memorial Day,October,13,Thai National Holiday,Shoulder Season
Chulalongkorn Day,October,23,Thai National Holiday,Shoulder Season
H.M. King Bhumibol's Birthday/National Day/Father's Day,December,5,Thai National Holiday,High Season (Tourist Peak)
Constitution Day,December,10,Thai National Holiday,High Season (Tourist Peak)
Loy Krathong,November,Full Moon,Thai Festival,Low Season (except during the festival)
Chinese New Year,January/February,Varies,Major Thai Festival,High Season (Tourist Peak)
Christmas,December,25,International Holiday,High Season (Tourist Peak)
New Year's Eve/Day,December/January,31-1,International Holiday,High Season (Tourist Peak)
Golden Week (China),October,First Week,International Holiday,Major International Peak
Chinese New Year (International),January/February,Varies,International Holiday,Major International Peak
Easter Holiday,March/April,Varies,International Holiday,Major International Peak
School Holidays in Asia,Varies by country,Varies,Regional Holiday,Regional Peak Season
European Summer Vacation,July - August,Varies,Regional Holiday,Regional Peak Season
Australian Winter Holidays,June - July,Varies,Regional Holiday,Regional Peak Season
High Season,November - March,Varies,General Peak Season,"High Season (cool, dry weather)"
Shoulder Season,July - October,Varies,General Season,Shoulder Season (varies by region)
Low Season,April - June,Varies,General Low Season,"Low Season (hot, except for Songkran)"