Holiday/Festival,Date,Type,Season
Songkran Festival (Thai New Year),April 13-15 (often a week),Thai Festival,High Season (Tourist Peak)
Makha Bucha,February/March (full moon),Thai Buddhist Holiday,Shoulder Season
Visakha Bucha,May/June (full moon),Thai Buddhist Holiday,Shoulder Season
Asahna Bucha,July/August (full moon),Thai Buddhist Holiday,Shoulder Season
New Year's Day,January 1,Thai National Holiday,High Season (Tourist Peak)
Chakri Memorial Day,April 6,Thai National Holiday,Shoulder Season
Labor Day,May 1,Thai National Holiday,Shoulder Season
H.M. King's Birthday,July 28,Thai National Holiday,Shoulder Season
H.M. Queen Mother's Birthday,August 12,Thai National Holiday,Shoulder Season
H.M. King Bhumibol Memorial Day,October 13,Thai National Holiday,Shoulder Season
Chulalongkorn Day,October 23,Thai National Holiday,Shoulder Season
H.M. King Bhumibol's Birthday/National Day/Father's Day,December 5,Thai National Holiday,High Season (Tourist Peak)
Constitution Day,December 10,Thai National Holiday,High Season (Tourist Peak)
Loy Krathong,November (full moon),Thai Festival,Low Season (except during the festival)
Chinese New Year,January/February,Major Thai Festival,High Season (Tourist Peak)
Christmas,December 25,International Holiday,High Season (Tourist Peak)
New Year's Eve/Day,December 31 - January 1,International Holiday,High Season (Tourist Peak)
Golden Week (China),First week of October,International Holiday,Major International Peak
Chinese New Year (International),January/February,International Holiday,Major International Peak
Easter Holiday,March/April (varies),International Holiday,Major International Peak
School Holidays in Asia,Varies by country,Regional Holiday,Regional Peak Season
European Summer Vacation,July - August,Regional Holiday,Regional Peak Season
Australian Winter Holidays,June - July,Regional Holiday,Regional Peak Season
High Season,November - March,General Peak Season,"High Season (cool, dry weather)"
Shoulder Season,July - October,General Season,Shoulder Season (varies by region)
Low Season,April - June,General Low Season,"Low Season (hot, except for Songkran)"