Months,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023
South-East Asia,"735,661","944,998","817,836","859,777","944,514","980,085","967,013","883,873","887,356","825,721","837,314","976,631","664,990","631,430","746,297","793,741","805,437","912,273","852,955","910,185","822,499","766,137","853,406","1,062,930"
North-East Asia,"947,242","1,137,558","987,746","933,676","900,612","910,897","1,125,068","1,154,776","843,454","837,295","913,291","1,015,150","422,938","468,121","551,202","598,386","557,118","641,800","796,108","785,052","624,747","603,770","672,766","855,642"
South Asia,"198,708","184,134","191,100","204,881","231,397","232,550","195,376","201,587","210,321","210,803","243,913","269,158","130,381","127,299","150,855","156,364","174,951","184,898","164,199","162,260","175,253","176,472","179,748","216,110"
Northern Europe,"197,416","178,854","174,118","105,172","78,254","90,159","109,485","81,876","69,529","110,559","162,445","241,083","158,894","148,123","137,951","97,361","67,717","78,828","93,342","72,840","62,553","91,577","134,633","198,834"
Western Europe,"257,573","280,758","237,086","167,999","111,515","84,742","175,928","148,251","106,115","170,245","245,495","274,994","190,527","210,153","176,790","138,482","99,518","74,811","147,919","125,744","94,547","141,593","203,739","235,025"
Central/Eastern Europe,"338,388","310,322","282,227","183,015","106,198","96,448","109,355","102,956","103,792","178,461","303,939","368,878","284,937","263,908","241,667","146,807","80,486","70,178","85,156","86,267","90,602","144,333","255,113","301,431"
Southern/Medit. Europe,"  83,639 ","  76,781 ","  69,986 ","  65,617 ","  46,821 ","  53,249 ","  81,611 ","  118,957 ","  68,906 ","  79,739 ","  108,612 ","  117,942 ","  69,937 ","  60,888 ","  56,959 ","  46,890 ","  33,060 ","  40,319 ","  59,678 ","  92,198 ","  59,969 ","  51,894 ","  65,587 ","  78,263 "
Other in Europe,"  2,725 ","  2,309 ","  2,266 ","  1,357 ","  1,119 ",  899 ,"  1,068 ","  1,227 ","  1,306 ","  1,649 ","  3,286 ","  4,121 ","  1,574 ","  1,479 ","  1,495 ",  990 ,  635 ,  667 ,  655 ,  798 ,  734 ,  957 ,"  1,656 ","  2,563 "
America,"  146,288 ","  138,484 ","  135,962 ","  108,172 ","  97,076 ","  107,002 ","  105,775 ","  84,697 ","  82,427 ","  117,937 ","  176,700 ","  176,558 ","  118,891 ","  117,838 ","  120,596 ","  100,424 ","  85,529 ","  94,143 ","  96,758 ","  74,573 ","  73,781 ","  97,572 ","  147,089 ","  160,267 "
Middle East,"  44,223 ","  35,346 ","  8,455 ","  45,071 ","  44,106 ","  97,083 ","  137,816 ","  105,097 ","  60,381 ","  53,937 ","  56,991 ","  53,703 ","  30,556 ","  26,948 ","  19,574 ","  26,190 ","  42,384 ","  67,329 ","  111,855 ","  87,012 ","  50,436 ","  44,644 ","  45,710 ","  47,861 "
Africa,"  9,731 ","  9,525 ","  9,534 ","  11,264 ","  11,257 ","  13,224 ","  13,362 ","  15,159 ","  14,643 ","  14,629 ","  17,297 ","  27,362 ","  8,100 ","  7,014 ","  8,647 ","  9,441 ","  8,778 ","  9,411 ","  10,332 ","  10,295 ","  10,620 ","  10,593 ","  10,149 ","  18,687 "